participant_id,run,puzzle_id,attempt,pnp,frame
56,1,19,7,0,2023-07-13-140906_56_1_19_7_frames.json
67,1,8,0,0,2023-07-20-080207_67_1_8_0_frames.json
36,1,27,2,0,2022-10-27-134130_36_1_27_2_frames.json
58,2,19,0,0,2023-07-14-085218_58_2_19_0_frames.json
42,1,8,0,0,2022-10-28-125617_42_1_8_0_frames.json
31,2,11,0,0,2022-10-27-083751_31_2_11_0_frames.json
66,1,14,8,0,2023-07-19-141935_66_1_14_8_frames.json
40,2,13,0,0,2022-10-28-090537_40_2_13_0_frames.json
41,2,7,0,0,2022-10-28-091900_41_2_7_0_frames.json
58,2,2,0,0,2023-07-14-085218_58_2_2_0_frames.json
63,2,21,0,0,2023-07-19-085424_63_2_21_0_frames.json
42,2,23,0,0,2022-10-28-131444_42_2_23_0_frames.json
66,2,10,7,0,2023-07-19-145512_66_2_10_7_frames.json
40,1,4,0,0,2022-10-28-083830_40_1_4_0_frames.json
47,1,27,7,0,2022-10-31-135739_47_1_27_7_frames.json
31,1,15,0,0,2022-10-27-080305_31_1_15_0_frames.json
31,1,13,0,0,2022-10-27-080305_31_1_13_0_frames.json
63,1,12,2,0,2023-07-19-081712_63_1_12_2_frames.json
63,1,14,6,0,2023-07-19-081712_63_1_14_6_frames.json
36,2,12,0,0,2022-10-27-141635_36_2_12_0_frames.json
34,2,20,1,0,2022-10-27-105501_34_2_20_1_frames.json
32,1,27,0,0,2022-10-27-080421_32_1_27_0_frames.json
58,1,10,2,0,2023-07-14-080110_58_1_10_2_frames.json
47,1,14,9,0,2022-10-31-135739_47_1_14_9_frames.json
53,1,24,0,0,2023-07-12-102448_53_1_24_0_frames.json
68,2,11,0,0,2023-07-20-084305_68_2_11_0_frames.json
40,2,15,0,0,2022-10-28-090537_40_2_15_0_frames.json
38,2,17,0,0,2022-10-27-142220_38_2_17_0_frames.json
45,2,14,0,0,2022-10-31-093422_45_2_14_0_frames.json
51,2,12,0,0,2023-07-06-092728_51_2_12_0_frames.json
58,1,25,0,0,2023-07-14-080110_58_1_25_0_frames.json
